"","Address","BusinessType","ProductSold","CompanyName","Status"
"1","31 Whytescauseway,  KY1 1XF, Scotland","Fife","Tobacco And Nicotine Vapour Products","BAR B Q KING ","Active"
"2","15 Birkmyre Avenue,  PA14 5AR, Scotland","Inverclyde","Tobacco And Nicotine Vapour Products","Birkmyre store","Active"
"3","British Petroleum Co plc, Service Station, 91 Burnbank Road ML3 9AN, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","Roshan Francisxavier ","Active"
"4","Kings Building, University of Edinburgh, Mary Bruck Building, Colin Maclaurin Road , Edinburgh , EH9 3DW EH9 3DW, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","Edinburgh University Students Assosciation","Active"
"5","281-283 High Street, Leslie KY6 3AX, Scotland","Fife","Tobacco Only","G&M Newsagents","Inactive"
"6","72-76 Murraygate,  DD1 2BB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","shery trading","Active"
"7","366 Cumbernauld Road,  G31 3NQ, Scotland","Glasgow City","Tobacco Only","1 Stop News","Active"
"8","9 Knockothie Road,  AB41 9EG, Scotland","Aberdeenshire","Tobacco Only","10 Dollar Shake","Active"
"9","23 glasgow road, wishaw ML2 7PG, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","maukinfauld ltd","Active"
"10","135 garscadden road,  G15 6UQ, Scotland","Glasgow City","Tobacco Only","ats management t/a 10 o'clock shop","Active"
"11","694B Old Edinburgh Road, Viewpark G71 6LD, Scotland","North Lanarkshire","Tobacco Only","10 O'Clock Shop","Active"
"12","360 Curtis Avenue,  G73 2EB, Scotland","South Lanarkshire","Tobacco Only","Bonatti Bros","Active"
"13","107/109 Cheviot Crescent ,  DD4 9QR, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Mohammed Dih","Active"
"14","66 Long Row,  PA28 6DD, Scotland","Argyll and Bute","Tobacco Only","11 o'clock Shop","Active"
"15","Best One , 1763 - 1765  Cumbernauld Road G33 1AA, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","Hyndland Street Convenience","Active"
"16","Sweet News, 12 Cathkin Drive, Clarkston G76 7PF, Scotland","East Renfrewshire","Tobacco Only","Cathkin news Ltd","Active"
"17","12/14 Eral Gray Street,  EH3 9BN, Scotland","Edinburgh City","Tobacco Only","bargain spot","Inactive"
"18","12-14 Jeffrey street,  EH1 1DT, Scotland","Edinburgh City","Tobacco Only","Dochgarroch and Santiago ltd","Active"
"19","28a Greenhill Road, Rutherglen G73 2SP, Scotland","South Lanarkshire","Tobacco Only","123 Deli & Shop","Inactive"
"20","125 Roman road,  ML1 1EA, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","S&z store ltd","Active"
"21","127 old castle news agent,  G44 5TJ, Scotland","Glasgow City","Tobacco Only","old castle news agent","Active"
"22","131 Station Road,  ML7 4BJ, Scotland","North Lanarkshire","Tobacco Only","David & Isla Brown (Newsagents) t/a 131","Inactive"
"23","131 station road,  ML7 4BJ, Scotland","North Lanarkshire","Tobacco Only","131 newsagents","Active"
"24","143 high st,  G1 1PH, Scotland","Glasgow City","Tobacco Only","vehniwals","Active"
"25","18 Lindsay Drive,  KA3 7LJ, Scotland","North Ayrshire","Tobacco And Nicotine Vapour Products","Premier Stores","Active"
"26","18 teviot place,  EH1 2QZ, Scotland","Edinburgh City","Tobacco Only","Le petit marche","Active"
"27","19 Albert Street,  DD4 6NS, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Head Happy","Active"
"28","192, carseview FK10 2ST, Scotland","Clackmannanshire","Tobacco Only","KCices","Active"
"29","main street, southerness DG2 8AZ, Scotland","Dumfries and Galloway","Tobacco Only","19 th hole","Active"
"30","296 main street, bellshill ML4 1AB, Scotland","North Lanarkshire","Tobacco Only","1st 4 convenience","Inactive"
"31","159 pitkerro road,  DD4 8DH, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","1st choice superstore","Active"
"32","32-38 Fintry Drive,  DD4 9PB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","1st Stop 2 Shop","Active"
"33","81 south street,  DD8 2BS, Scotland","Angus","Tobacco And Nicotine Vapour Products","1st STOP 2 SHOP","Active"
"34","3 shielhill road,  DD8 4PN, Scotland","Angus","Tobacco Only","1st STOP 2 SHOP","Inactive"
"35","74-76 Glamis Road,  DD8 5DD, Scotland","Angus","Tobacco Only","1st Stop 2 Shop","Active"
"36","74-76 GLAMIS ROAD,  DD8 5DD, Scotland","Angus","Tobacco And Nicotine Vapour Products","SHEENI & ZAKI  LTD","Active"
"37","32-34 Fintry Drive,  DD4 9PB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Closer","Active"
"38","33 Rossie Island Road,  DD10 9NR, Scotland","Angus","Tobacco Only","2go stores ltd","Active"
"39","2 Victoria Buildings`, Drumna N63 6TU, Scotland","Highland","Nicotine Vapour Products Only","Donal Bolger","Active"
"40","20 Annsfield Road,  ML3 8BQ, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","Shaz CONVENIENCE store Ltd ","Active"
"41","21, dalrymple street KA26 9EU, Scotland","South Ayrshire","Nicotine Vapour Products Only","THE LAND OF BARGAINS","Active"
"42","SARACEN STREET,  G22 5JW, Scotland","Glasgow City","Tobacco Only","SCOTT NEWS","Active"
"43","380 Dumbarton Road,  G11 6RZ, Scotland","Glasgow City","Tobacco Only","Closer To Ltd","Active"
"44","404 Byres Road,  G12 8AS, Scotland","Glasgow City","Tobacco Only","Dusk til Dawn (Byres) Ltd","Active"
"45","sandbank street, maryhill G20 0PQ, Scotland","Glasgow City","Tobacco Only","pba superstore","Active"
"46","27 Ladymuir Crescent, Pollock G53 5UE, Scotland","Glasgow City","Tobacco Only","salvie store ltd","Active"
"47","27, Ladymuir crescent G53 5UE, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","New sialvie ltd","Active"
"48","29 Royal Exchange Square,  G1 3AJ, Scotland","Glasgow City","Tobacco Only","One up trading as glenerrol","Active"
"49","296 cumbernauld road,  G31 2UL, Scotland","Glasgow City","Tobacco Only","ashraif ltd","Active"
"50","331, calder road EH11 4AH, Scotland","Edinburgh City","Tobacco Only","2c drinks n things","Inactive"
"51","3/1 3 Carfin Street,  G42 7QA, Scotland","Glasgow City","Tobacco Only","SM PK STORE","Active"
"52","67-69 Elmbank Street,  G2 4PQ, Scotland","Glasgow City","Tobacco Only","3 in 1 Fast Foods Ltd","Active"
"53","35 main street roslin,  EH25 9LA, Scotland","Midlothian","Tobacco Only","roslin moni market","Active"
"54","375a Victoria Road,  G42 8RZ, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","Ebrahim Ahmed","Active"
"55","M Sharif Supermarked Offsales, 3 Grougar Road, Crookedholm KA3 6LD, Scotland","East Ayrshire","Tobacco And Nicotine Vapour Products","3cornerbestonestore ltd","Active"
"56","217 High Street,  KY4 9QF, Scotland","Fife","Tobacco Only","4 aces catering services","Inactive"
"57","87 Commercial Road, Gorbals G5 0RG, Scotland","Glasgow City","Tobacco Only","4 S News","Active"
"58","40 High Street,  PA1 2DQ, Scotland","Renfrewshire","Tobacco Only","Z&S Traders Ltd","Inactive"
"59","40 victoria roads, torry AB11 9DR, Scotland","Aberdeen City","Tobacco Only","tony newsagents","Inactive"
"60","43 Barnton Street,  FK8 1HF, Scotland","Stirling","Tobacco And Nicotine Vapour Products","43 Barnton Street","Active"
"61","4-6 Old Sneddon Street,  PA3 2AL, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","4-6 Old Sneddon Street","Active"
"62","St Catherines Crecent,  ML7 4JG, Scotland","North Lanarkshire","Tobacco Only","Angies Ices","Active"
"63","32 Glasgow road, Barrhead G78 1BU, Scotland","East Renfrewshire","Tobacco Only","Red road grocer","Active"
"64","51 Main Street,  DG8 0PP, Scotland","Dumfries and Galloway","Tobacco Only","Glenluce Post Office and Store","Active"
"65","main street, neilston G78 3NJ, Scotland","East Renfrewshire","Tobacco Only","Flames Tandoori Ltd","Active"
"66","524  George Street,  AB25 3XJ, Scotland","Aberdeen City","Tobacco Only","524 Bar Ltd","Active"
